name,description,price,cost,unit,stock,min_stock,barcode,image_url,category
Mayonesa Natura,"Agua, aceite vegetal, huevo pasteurizado, almidón modificado, azúcar, vinagre de alcohol, sal, jugo concentrado de limón, acidulantes (ácido fosfórico, ácido láctico), estabilizantes (goma guar, goma xántica), conservador (sorbato de potasio), aromatizantes idénticos al natural, secuestrante (EDTA cálcico disódico), antioxidantes (BHA, galato de propilo, ácido cítrico), colorante (betacaroteno)",11841.00,0.00,U,10.000,0.000,7791866001364,https://images.openfoodfacts.org/images/products/779/186/600/1364/front_es.59.400.jpg,Condimentos
9 de oro,"wheat flour, oleo beret sugar, salt, flour, high yeast, emulsifier lecithin (ins 322),contains derivatives of wheat, barley and soy, for unuquay: flour ennquecda with hiorro 0g dol ms d",6587.00,0.00,U,74.000,0.000,7792200000128,https://images.openfoodfacts.org/images/products/779/220/000/0128/front_en.35.400.jpg,Botanas
Almendra sin Azúcar,"Base de almendra (agua, almendra), calcio, sal, zinc, vitaminas (A, B2, B12, D2, E), estabilizantes (goma gellán, goma xántica), aromatizante natural almendra, emulsionante (lecitina de girasol), regulador de acidez (bicarbonato de sodio).",10728.00,0.00,U,66.000,0.000,7790742340306,https://images.openfoodfacts.org/images/products/779/074/234/0306/front_es.41.400.jpg,Bebidas y preparaciones de bebidas
Paso 5 semillas,"SERVICIO DETENC AL CONSUMIDOn ARG 0-800-333-9547 www.OINOCAHUELAS.Co GALLETIT CEON SESAMO, LINO, QUINOA, CHAWARANTO MATERIA GRASA15% HAR A DETRIGO LEY 256200. ACETE DE GIRASOL ALTO OLEICOA2UCAPSALARABE DEMA EXTRACIO DEMALTA, AUMIDON DE MAIZ SALVADO DE DESESAMO TOSTADO, CHIA LQUINOA, TRIGO PARTIDO AVEMA EUDANTES OUINICOS NSSOBA FOSFATO TMG TRIGO, SEM AMARAN AD ARROLL aiCARBONATO a USONANTE LECTNA DERIVADOS DE CONTENER LECHE n CONTIENE EBADAY CENTENO MENDRAS iHEMAE DETRIGO, HIERRO Hco ADA (13mg AMINA u rIED 63 me/ke) ACIDO FOUCO22mgho.caOFLAVINA 13me/K a VENC. 27 Os 20 L. 310819 23:3, hG",6645.00,0.00,U,13.000,0.000,7792180007315,https://images.openfoodfacts.org/images/products/779/218/000/7315/front_es.14.400.jpg,Botanas
Picadillo de carne,"Carne vacuna, agua, menudencias de vaca, grasa de vaca, carne mecánicamente separada de vaca, almidón, harina de trigo (hierro 0.003%, ácido fólico 0.00022%, vitamina B1 0,00063%, vitamina B2 0.00013%, niacina 0,0013%), sal, proteína de soja 1%, vinagre, especias, estabilizante (INS 452i), conservador (INS 250)",12233.00,0.00,U,31.000,0.000,7790360720115,https://images.openfoodfacts.org/images/products/779/036/072/0115/front_es.24.400.jpg,Canned meats
Tostaditas de arroz,,3807.00,0.00,U,44.000,0.000,7798200050019,https://images.openfoodfacts.org/images/products/779/820/005/0019/front_es.17.400.jpg,Plant-based foods and beverages
Savora,"agua, vinagre de alcohol, vinagre de vino, almidón modificado, azúcar, sal, semilla de mostaza blanca, curcuma, aceite de girasol, canela, nuez moscada, cebolla, apio, ají, comino, ajo, clavo de olor, orégano, tomillo, pimienta blanca, pimienta negra, coriandro, laurel, estabilizante: goma xantica, conservante: ácido sorbico, colorantes: caramelo IV, clorofila y secuestrante: EDTA disodico cálcico",5373.00,0.00,U,26.000,0.000,7794000006478,https://images.openfoodfacts.org/images/products/779/400/000/6478/front_es.22.400.jpg,mustards
Caldo de verduras,"Sal, grasa animal, almidón de maíz, azúcar, vegetales (cebolla, espinaca, perejil ajo puerro, zanahoria, tomate, repollo, marrón rojo, zapallo), agua, cúrcuma, semilla de apio, pimienta negra, laurel, /22 resaltadores del sabor glutamato monosódico, inosinato doódico y guanilato disódico y colorante caramelo IV. CONTIENE SULFITOS. PUEDE CONTENER LECHE Y DERIVADOS DE TRIGO Y DE SOJA. PAP",2953.00,0.00,U,46.000,0.000,7794000008557,https://images.openfoodfacts.org/images/products/779/400/000/8557/front_es.12.400.jpg,Alimentos y bebidas de origen vegetal
Mermelada de frutilla,"Frutillas (fresas); azúcar, agua; gelificante: pectina; acidulante: acido citrico; espesante: goma xántica; colorante: carmín (INS 120); conservadores benzoato de sodio, sorbato de potasio; antiespumante: INS 900.",2812.00,0.00,U,10.000,0.000,7793360131530,https://images.openfoodfacts.org/images/products/779/336/013/1530/front_es.23.400.jpg,Plant-based foods and beverages
Criollitas x 5,,13274.00,0.00,U,6.000,0.000,7790040139015,https://images.openfoodfacts.org/images/products/779/004/013/9015/front_es.16.400.jpg,Snacks
Arroz largo fino,,4832.00,0.00,U,63.000,0.000,7791120031557,https://images.openfoodfacts.org/images/products/779/112/003/1557/front_es.3.400.jpg,Arroces blancos
Queso Descremado,"Leche estandarizada pasteurizada, leche en polvo descremada, proteínas lácteas, almidón modificado de maíz, gelatina, sal, cultivos lácticos, estabilizantes (INS 410, INS 412, INS 417), aroma, conservantes (INS 202)",5542.00,0.00,U,47.000,0.000,7791337061439,https://images.openfoodfacts.org/images/products/779/133/706/1439/front_en.17.400.jpg,cheeses
cafe arlistan,,11221.00,0.00,U,23.000,0.000,7790070933652,https://images.openfoodfacts.org/images/products/779/007/093/3652/front_en.4.400.jpg,coffees
"Almond milk, sugarfree, refrigerated",,2320.00,0.00,U,38.000,0.000,7791337007918,https://images.openfoodfacts.org/images/products/779/133/700/7918/front_en.12.400.jpg,milk-substitutes
Azúcar Superior,Azúcar blanco refinado,2581.00,0.00,U,62.000,0.000,7792540250450,https://images.openfoodfacts.org/images/products/779/254/025/0450/front_es.8.400.jpg,Endulzantes
x3 Pepitos con chispas de Cadbury,"Harina de trigo enriquecida (*); azúcar; aceite vegetal; cacao en polvo; dextrosa; licor de cacao; manteca de cacao; leche descremada en polvo; leudantes quimicos: bicarbonato de amonio, bicarbonato de sodio, fosfato monocálcico; emulsionantes: sodio estéaroil lactilato, lecitina de soja, polirricinoleato de poliglicerol, sorbitan triestearato, lecitina de girasol; aromatizantes artificiales: vainilla y almendra; colorante: betacaroteno. (&quot;) Ley 25630 (Harina, 7 622201 hierro: 30 mg/kg, ácido fólico: 2,2 mg/kg, vitamina B1: 6,3 mg/kg, vitamina B2: 1,3 mg/kg, niacina: 13,0 mg/kg). CONTIENE LECHE, DERIVADOS DE TRIGO Y DE SOJA.",4045.00,0.00,U,85.000,0.000,7622201735883,https://images.openfoodfacts.org/images/products/762/220/173/5883/front_es.3.400.jpg,Snacks
Surtido Bagley,"HARINA DE TRIGO ENRIQUECIDA (&quot;), AZÚCAR; ACEITE VEGETAL (ALTO OLEICO, FRACCIONADO 2 HIDROGENADO); GRASA BOVINA REFINADA; JARABE DE GLUCOSA CACAO EN POLVO MANÍ TOSTADO, JARABE DE MAIZ DE ALTA FRUCTOSA; LECHE ENTERA EN POLVO; SAL; PERMEADO DE SUERO EN POLVO; FIBRA DE TRIGO; LECHE DESCREMADA EN POLVO; DEXTROSA; ALBUMINA; LEUDANTES QUÍMICOS: BICARBONATO DE SODIO, BICARBONATO DE AMONIO; HUMECTANTE: GLICERINA: AROMATIZANTES ARTIFICIALES: VAINILLINA, ETILVAINILLINA AROMAS FRAMBUESA, CHOCOLATE, CARAMELO; AVELLANA, COCO Y LIMÓN; EMULSIONANTES: LECITINA DE SOJA/SOYA; SALES DE AMONIO DE ÁCIDOS FOSFATÍDICOS; TRIESTEARATO DE SORBITAN, POLIGLICEROL POLIRRICINOLEATO; GELIFICANTE: PECTINA; ACIDULANTE: ÁCIDO CÍTRICO; MEJORADOR DE HARINA: METABISULATO DE SODIO: COLORANTES: CARAMELO (INS1500), ÁCIDO CARMINICO NS120), ANNATTO (INS1606). EN ARGENTINA - LEY 25.630 (CONTIENE: HIERRO: 30 mg/kg; ACIDO FÓLICO: 2,2 mg/kg; TIAMINA 6,3 mg/kg; RIBOFLAVINA: 1,3 mg/kg; MACINA: 13 mg/kg). CONTIENE SULFITOS, MANÍ, LECHE, DERIVADOS DE TRIGO, HUEVO Y SOJA/SOYA. PUEDE CONTENER ALMENDRA, AVELLANA, AVENA, CEBADAY CENTENO.",10874.00,0.00,U,16.000,0.000,7790040147720,https://images.openfoodfacts.org/images/products/779/004/014/7720/front_es.33.400.jpg,Snacks
7790040143586,,1894.00,0.00,U,37.000,0.000,7790040143586,https://images.openfoodfacts.org/images/products/779/004/014/3586/front_es.14.400.jpg,
"Galletas Integral de Granola con Avena, Almendras y Maní","Avena arrollada, harina integral, azúcar mascabado, aceite de girasol alto oleico, almendras, maní, almidón de maíz, sal marina, LEUDANTES QUÍMICOS (INS 500ii, INS 503ii), AROMATIZANTES (esencia natural de vainilla), antioxidante (tocoferoles).",11202.00,0.00,U,24.000,0.000,7798128000707,https://images.openfoodfacts.org/images/products/779/812/800/0707/front_en.3.400.jpg,Botanas
Galletas Integral de Avena con Chips de Chocolate,"Harina integral, azúcar mascabado, chips de chocolate integral [azúcar integral mascabado, pasta de cacao, manteca de cacao, EMULSIONANTE (INS 322), AROMATIZANTE (vainilla)], aceite de girasol alto oleico, avena arrollada, REGULADOR DE ACIDEZ (INS 500ii, INS 503ii), sal marina, AROMATIZANTE, antioxidante natural (tocoferoles).",10140.00,0.00,U,81.000,0.000,7798128000691,https://images.openfoodfacts.org/images/products/779/812/800/0691/front_es.48.400.jpg,Botanas
Aceite de girasol,Aceite de girasol. PUEDE CONTENER SOJA. PUEDE CONTENER CACAHUETE.,7149.00,0.00,U,29.000,0.000,7790272001005,https://images.openfoodfacts.org/images/products/779/027/200/1005/front_es.44.400.jpg,Plant-based foods and beverages
Galletas Integral,"Harina integral, azúcar mascabado, aceite de girasol alto oleico, harina de algarroba, almidón de maíz, cacao en polvo, sal marina, REGULADOR DE LA ACIDEZ (bicarbonato de sodio (INS 500ii), bicarbonato de amonio (INS 503ii)), AROMATIZANTE, antioxidante (tocoferoles).",7399.00,0.00,U,21.000,0.000,7798128000684,https://images.openfoodfacts.org/images/products/779/812/800/0684/front_es.69.400.jpg,Botanas
yerba (corregido),,8855.00,0.00,U,14.000,0.000,7793704000928,https://images.openfoodfacts.org/images/products/779/370/400/0928/front_en.7.400.jpg,Plant-based foods and beverages
Aceite puro de girasol,Aceite de Girasol,14198.00,0.00,U,71.000,0.000,7790272001029,https://images.openfoodfacts.org/images/products/779/027/200/1029/front_es.32.400.jpg,Alimentos y bebidas de origen vegetal
Pepitos,"Harina de trigo enriquecida (*); azúcar; aceite vegetal; cacao en polvo; dextrosa; licor de cacao; manteca de cacao; leche descremada en polvo; leudantes químicos: bicarbonato de amonio, bicarbonato de sodio, fosfato monocálcico; emulsionantes: sodio estearoil lactilato, 7 622201 735906 4050050415001 lecitina de soja, polirricinoleato de poliglicerol, sorbitán triestearato, lecitina de girasol; aromatizantes artificiales: vainilla y almendra; colorante: betacaroteno. (*) Ley 25630 (Harina, hierro: 30 mg/kg, ácido fólico: 2,2 mg/kg, vitamina B1: A 6,3 mg/kg, vitamina B2: 1,3 mg/kg. So niacina: 13,0 mg/kg). CONTIENE LECHE, DERIVADOS DE S TRIGO Y DE SOJA. me",4911.00,0.00,U,24.000,0.000,7622201735906,https://images.openfoodfacts.org/images/products/762/220/173/5906/front_es.24.400.jpg,Snacks
Mayonesa clásica,"Agua, aceite vegetal, huevo líquido, almidón modificado, azúcar, vinagre de alcohol, sal, jugo concentrado de limón. estabilizante: goma xántica, acidulante: ácido fosfórico, conservador: ácido sórbico. aromatizantes: idénticos al natural y naturales. secuestrante: EDTA disódico cálcico, antioxidantes BHT y BHA y colorante: betacaroteno. CONTIENE HUEVO. abierto",5250.00,0.00,U,70.000,0.000,7794000006065,https://images.openfoodfacts.org/images/products/779/400/000/6065/front_es.22.400.jpg,Condiments
Ketchup,"Agua, concentrado doble de tomate, azúcar, vinagre de alcohol, maltodextrina, sal, conservador (ácido sórbico), aromatizante natural.",3215.00,0.00,U,37.000,0.000,7794000006188,https://images.openfoodfacts.org/images/products/779/400/000/6188/front_es.35.400.jpg,Condimentos
"Arrocitas con Sal, Sésamo y Lino","Arroz Integral Yamaní, Arroz Integral, Agua, Sal, Semillas de Lino, Semillas de Sésamo.",8969.00,0.00,U,76.000,0.000,7790538009561,https://images.openfoodfacts.org/images/products/779/053/800/9561/front_es.42.400.jpg,Alimentos y bebidas de origen vegetal
Mostaza &quot;Savora&quot; 500 g,"Agua, vinagre de alcohol, vinagre de vino, almidón modificado, especias (semillas de mostaza amarilla, cúrcuma, canela, nuez moscada, semilla de apio, ají molido, comino, clavo de olor, pimienta negra, tomillo, orégano, jengibre, laurel), azúcar, sal, aceite de girasol, cebolla, ajo, estabilizante: goma xántica, conservador: ácido sórbico, colorantes: E150b y clorofila, aromatizante, secuestrante: E385 y antioxidantes: BHA, BHT. PUEDE CONTENER TRIGO, AVENA, CEBADA Y CENTENO.",1621.00,0.00,U,8.000,0.000,7794000006485,https://images.openfoodfacts.org/images/products/779/400/000/6485/front_es.34.400.jpg,es:Mosta
